"boyle_1811WL0800-out" "boyle_1811WL0875-out" "boyle_1813WL0672-out" "boyle_1816WL0749-out" "boyle_1816WL0804-out" "boyle_1816WL0857-out" "boyle_1823WL1245-out" "boyle_1823WL1277-out" "boyle_1825WL1210-out" "boyle_1826WL1283-out" "mills_1821WL1078-out" "mills_1821WL1160-out" "mills_1823WL1275-out" "mills_1826WL1312-out" "mills_1827WL1430-out" "mills_1827WL1468-out" "mills_1827WL1658-out" "mills_1827WL1678-out" "mills_1828WL1313-out" "mills_1828WL1326-out" "owsley_1815WL0729-out" "owsley_1816WL0780-out" "owsley_1818WL1295-out" "owsley_1820WL1109-out" "owsley_1821WL1072-out" "owsley_1821WL1172-out" "owsley_1826WL1253-out" "owsley_1826WL1285-out" "owsley_1828WL1236-out" "owsley_1828WL1289-out"
"have" 0.147710487444609 0.45662100456621 0.218818380743982 0.36697247706422 0.48780487804878 0.5420054200542 0.323101777059774 0.50251256281407 0.431034482758621 0.13986013986014 0.465657741559953 0.457142857142857 0.132275132275132 0.142857142857143 0.170842824601367 0.419874037788663 0 0.309917355371901 0.233463035019455 0.245700245700246 0.745156482861401 0.650759219088937 0 0 0.427807486631016 0.539568345323741 0.562700964630225 0.0798722044728434 0.631768953068592 0.773480662983425
"no" 0.590841949778434 0.342465753424658 0 0.18348623853211 0.365853658536585 1.3550135501355 0.646203554119548 0.251256281407035 0.21551724137931 0.559440559440559 0.27163368257664 0.228571428571429 0.661375661375661 0.428571428571429 0.170842824601367 0.0699790062981106 0 0.309917355371901 0.155642023346304 0.307125307125307 1.04321907600596 0.433839479392625 0 0.537634408602151 0.213903743315508 0.179856115107914 0.643086816720257 0.399361022364217 0.72202166064982 0.331491712707182
"law" 0 0.114155251141553 0.218818380743982 0 0.48780487804878 0.2710027100271 0 0.33500837520938 0.21551724137931 0.699300699300699 0.155219247186651 0.8 1.19047619047619 0.285714285714286 0.284738041002278 0.279916025192442 0 0.206611570247934 0.544747081712062 0.0614250614250614 0.596125186289121 0.650759219088937 0.806451612903226 0.537634408602151 0.213903743315508 0.179856115107914 0.482315112540193 0.718849840255591 0.180505415162455 0.662983425414365
"evidence" 0.443131462333826 0 0 1.10091743119266 0.365853658536585 0 0.0807754442649435 1.08877721943049 0.21551724137931 0.979020979020979 0.582072176949942 0 0 0.714285714285714 0 0.0699790062981106 0.873362445414847 0.619834710743802 1.24513618677043 0.122850122850123 0.14903129657228 0 0 1.88172043010753 0 0 0 0 0.180505415162455 0.552486187845304
"any" 0.295420974889217 0.45662100456621 0.218818380743982 0.18348623853211 0.121951219512195 0.5420054200542 0.0807754442649435 0.837520938023451 0.21551724137931 0.13986013986014 0.194024058983314 0.342857142857143 0.793650793650794 0.142857142857143 0.113895216400911 0.139958012596221 0 0.206611570247934 0.389105058365759 0.614250614250614 0.447093889716841 0.325379609544469 0 0.268817204301075 0.106951871657754 0 0.482315112540193 0.23961661341853 0.812274368231047 0.773480662983425
"defendant" 0.443131462333826 0.114155251141553 0 0.36697247706422 0 0.813008130081301 0.323101777059774 0.837520938023451 0 0.839160839160839 0.155219247186651 0 0.396825396825397 0.714285714285714 0 0.419874037788663 0 1.03305785123967 0 0.614250614250614 0.29806259314456 0 0.403225806451613 0.268817204301075 0 1.2589928057554 0 0.798722044728435 0.36101083032491 0.110497237569061
"can" 0 0.114155251141553 0 0 0 0.5420054200542 0.161550888529887 0.50251256281407 0.538793103448276 0.559440559440559 0.388048117966628 0.8 0 0.285714285714286 0.341685649202733 0.489853044086774 0 0.309917355371901 0.155642023346304 0.368550368550369 0 0.542299349240781 0 0.268817204301075 0.213903743315508 0.359712230215827 0.160771704180064 0.479233226837061 0.631768953068592 0.441988950276243
"deed" 0 0 0 0 0 0 0.24232633279483 2.5963149078727 0 0.13986013986014 0.776096235933256 0 0 1.57142857142857 0.341685649202733 0 0 0 0 0.737100737100737 0 0 0 0 0 0 0 0.23961661341853 0.451263537906137 0
"title" 0 0 0 0.73394495412844 0.24390243902439 0 0 1.34003350083752 0.107758620689655 0.839160839160839 0.155219247186651 0 0 0.142857142857143 0.683371298405467 0 0 0 0 0.42997542997543 0.29806259314456 1.08459869848156 0 0 0.106951871657754 0 0.160771704180064 0 1.62454873646209 0.110497237569061
"made" 0.295420974889217 0.570776255707763 0.656455142231947 0 0.24390243902439 0.5420054200542 0.161550888529887 0 0.969827586206897 0.27972027972028 0.27163368257664 0 0.396825396825397 0.142857142857143 0.113895216400911 0.419874037788663 0 0 0.311284046692607 0.368550368550369 0 0.216919739696312 0 0.268817204301075 0.427807486631016 1.07913669064748 0.723472668810289 0.23961661341853 0.180505415162455 0.331491712707182
"if" 0 0.91324200913242 0.656455142231947 0.73394495412844 0.975609756097561 0.2710027100271 0.24232633279483 0.33500837520938 0.21551724137931 0.13986013986014 0.388048117966628 0.457142857142857 0.264550264550265 0.428571428571429 0.284738041002278 0.139958012596221 0 0.413223140495868 0.466926070038911 0.245700245700246 0 0.108459869848156 0 0 0 0.179856115107914 0.0803858520900322 0.159744408945687 0.36101083032491 0.220994475138122
"land" 0 0.342465753424658 0 0.917431192660551 0.48780487804878 0.2710027100271 0 0.753768844221106 0.21551724137931 0.699300699300699 0.116414435389988 0.114285714285714 0 0.571428571428571 0.170842824601367 0 0 0 0 0.85995085995086 0.745156482861401 0.759219088937093 0 0 0.962566844919786 0 0 0 0.902527075812274 0
"upon" 1.18168389955687 0.228310502283105 0.87527352297593 0.55045871559633 0.609756097560976 1.0840108401084 0.24232633279483 0.251256281407035 0.107758620689655 0.559440559440559 0.0388048117966628 0.114285714285714 0.132275132275132 0 0.284738041002278 0 0 0 0 0 0 0.650759219088937 0.806451612903226 0.537634408602151 0.53475935828877 0 0.401929260450161 0.718849840255591 0.541516245487365 0.331491712707182
"interest" 0.886262924667651 0 0 0 0.48780487804878 0 0.0807754442649435 0 0 0 0.0388048117966628 0 0 1.42857142857143 0.398633257403189 1.9594121763471 1.31004366812227 0 0 0 0.14903129657228 0.542299349240781 0 0 0 0 0 0.0798722044728434 0.541516245487365 0.994475138121547
"their" 0 0.228310502283105 0 0 1.82926829268293 0 0.888529886914378 0 0.646551724137931 0.13986013986014 0 0 0.132275132275132 0 0.455580865603645 0.349895031490553 0 0 0.311284046692607 0.491400491400491 0 0.216919739696312 0 0 0.320855614973262 0 0.160771704180064 0 0.902527075812274 0.441988950276243
"been" 0.147710487444609 0.570776255707763 0 0 0.24390243902439 1.6260162601626 0.24232633279483 0.33500837520938 0.323275862068966 0.13986013986014 0.349243306169965 0.114285714285714 0 0.142857142857143 0.0569476082004556 0.489853044086774 0 0.103305785123967 0.155642023346304 0.307125307125307 0.29806259314456 0.216919739696312 0 0 0.53475935828877 0.899280575539568 0.401929260450161 0.159744408945687 0.36101083032491 0.220994475138122
"such" 0 1.02739726027397 0 0.36697247706422 0.24390243902439 0.2710027100271 0.24232633279483 0.251256281407035 0.21551724137931 0.41958041958042 0.155219247186651 0.228571428571429 0.264550264550265 0 0.227790432801822 0.279916025192442 0 0.309917355371901 0.155642023346304 0.368550368550369 0.745156482861401 0.759219088937093 0 0 0.320855614973262 0 0.321543408360129 0.159744408945687 0.270758122743682 0.331491712707182
"we" 0.443131462333826 0.45662100456621 0.656455142231947 0.55045871559633 0.121951219512195 0.2710027100271 0.24232633279483 0.50251256281407 0.431034482758621 0.27972027972028 0.310438494373302 0.228571428571429 0.132275132275132 0.142857142857143 0.398633257403189 0.279916025192442 0 0.309917355371901 0.466926070038911 0.368550368550369 0.14903129657228 0.325379609544469 0 0.268817204301075 0.213903743315508 0 0.160771704180064 0.0798722044728434 0 0.110497237569061
"against" 0 0.45662100456621 0.218818380743982 0 0.121951219512195 0.2710027100271 0.323101777059774 0.0837520938023451 0 0.13986013986014 0.737291424136593 0.342857142857143 0.661375661375661 0 0.113895216400911 0.139958012596221 1.31004366812227 0.309917355371901 0.233463035019455 0.122850122850123 0.14903129657228 0.108459869848156 0 0.537634408602151 0 0.539568345323741 0 0 0.902527075812274 0.662983425414365
"plaintiff" 1.18168389955687 0 0 0 0.975609756097561 0.5420054200542 0.323101777059774 0.670016750418761 0 0.559440559440559 0.504462553356616 0 0 0 0 0 0 0.206611570247934 0.0778210116731518 0.85995085995086 0.29806259314456 0 0.403225806451613 0 0.106951871657754 0 0 0.23961661341853 0.180505415162455 0.552486187845304
"must" 0 0.114155251141553 0.218818380743982 0.18348623853211 0 0.2710027100271 0.24232633279483 0.251256281407035 0.431034482758621 0.13986013986014 0.155219247186651 0.8 0.264550264550265 0.142857142857143 0.113895216400911 0.699790062981106 0 0.206611570247934 0.311284046692607 0.122850122850123 0.29806259314456 0.325379609544469 0.403225806451613 0.268817204301075 0.106951871657754 0.539568345323741 0.160771704180064 0.559105431309904 0.36101083032491 0.331491712707182
"s" 1.47710487444609 0.114155251141553 0 0 0 0.2710027100271 0.24232633279483 0.251256281407035 1.83189655172414 0.699300699300699 0.116414435389988 0 0.132275132275132 0 0.341685649202733 0.279916025192442 0 0 0.233463035019455 0.245700245700246 0 0.216919739696312 0 0.268817204301075 0.213903743315508 0.179856115107914 0.321543408360129 0.159744408945687 0 0.331491712707182
"has" 0.295420974889217 0.342465753424658 0 0.36697247706422 0.24390243902439 0 0.0807754442649435 0 0.107758620689655 0.27972027972028 0.543267365153279 0.114285714285714 0.396825396825397 0 0.170842824601367 0.909727081875437 0 0.206611570247934 0.233463035019455 0.245700245700246 0.29806259314456 0.108459869848156 0 0.268817204301075 0 0.539568345323741 0.401929260450161 0.0798722044728434 0.0902527075812274 0.110497237569061
"one" 0 0.45662100456621 0.437636761487965 0 0.48780487804878 0 0.0807754442649435 0.0837520938023451 0 0.27972027972028 0.310438494373302 0.342857142857143 0 0.142857142857143 0.455580865603645 0.139958012596221 0.873362445414847 0.413223140495868 0.155642023346304 0.552825552825553 0 0 0 0 0 0 0.401929260450161 0.23961661341853 0.451263537906137 0.441988950276243
"case" 0.443131462333826 0 0.656455142231947 0.73394495412844 0.48780487804878 0 0.484652665589661 0.251256281407035 0.21551724137931 0.41958041958042 0.232828870779977 0.685714285714286 0.396825396825397 0.285714285714286 0.284738041002278 0.209937018894332 0 0 0.389105058365759 0.122850122850123 0.29806259314456 0 0 0 0.106951871657754 0.179856115107914 0 0.23961661341853 0 0.220994475138122
"him" 0 0.342465753424658 0 0 0.24390243902439 0 0 0.418760469011725 0 0 0.659681800543267 0.228571428571429 0.529100529100529 0.142857142857143 0.227790432801822 0.419874037788663 0 0.309917355371901 0.0778210116731518 0.184275184275184 0 0 0 0.537634408602151 0 0.539568345323741 0.160771704180064 0 0.541516245487365 0.552486187845304
"said" 0.147710487444609 0 0 0 0.24390243902439 0 0.323101777059774 0 0.107758620689655 0 1.08653473030656 0.114285714285714 0 0.285714285714286 0.341685649202733 0.0699790062981106 0 0.103305785123967 0.0778210116731518 0.184275184275184 0 0 0 0.268817204301075 0.213903743315508 0 0.0803858520900322 1.03833865814696 0 0
