"boyle_021-out" "boyle_022-out" "Dickens_Hard" "sneed_people"
"words" 0.13531799729364 0 0.0298472973753635 0.00519831574569839
"dollars" 0 0 0 0.0779747361854759
"far" 0 0 0.0433267219964954 0.0207932629827936
"latter" 0 0 0.00481408022183282 0.0155949472370952
"unless" 0 0 0.0163678727542316 0.0155949472370952
"year" 0 0.547445255474453 0.0269588492422638 0.0311898944741904
"certain" 0 0 0.0163678727542316 0.0155949472370952
"remanded" 0 0 0 0
"settled" 0 0.182481751824818 0.00866534439929907 0.0103966314913968
"entered" 0 0 0.00577689626619938 0.0155949472370952
"injunction" 0 0 0.00192563208873313 0.00519831574569839
"James" 0 0 0.0442895380408619 0.145552840879555
"rule" 0 0.182481751824818 0.00288844813309969 0.0103966314913968
"years" 0 0 0.046215170129595 0.0571814732026823
"assignment" 0 0 0 0
"Bibb" 0 0 0 0.0103966314913968
"much" 0 0.0912408759124088 0.155976199187383 0.0935696834225711
"never" 0 0 0.194488840962046 0.0675781046940791
"office" 0 0 0.00866534439929907 0.332692207724697
"Thomas" 0 0 0.0481408022183282 0.0467848417112855
"As" 0 0 0.0558433305732607 0.0207932629827936
"CIRCUIT" 0 0 0 0
"place" 0.27063599458728 0.273722627737226 0.0616202268394601 0.0415865259655872
"third" 0 0 0.00770252835493251 0.0103966314913968
"whom" 0 0 0.0500664343070613 0.0415865259655872
"contest" 0 0 0.000962816044366563 0.00519831574569839
"making" 0 0.0912408759124088 0.0250332171535306 0.0311898944741904
"May" 0 0 0.00962816044366563 0.0311898944741904
"still" 0 0 0.0693227551943926 0.0363882102198888
"dismissed" 0 0 0.00385126417746625 0.00519831574569839
"wife" 0 0 0.0231075850647975 0.00519831574569839
"witness" 0 0 0.00192563208873313 0
"country" 0 0.182481751824818 0.0298472973753635 0.0519831574569839
"different" 0 0.0912408759124088 0.0173306887985981 0.025991578728492
"appeal" 0 0.0912408759124088 0.00577689626619938 0.0103966314913968
"authority" 0 0 0.00288844813309969 0.0155949472370952
"Blight" 0 0 0 0
"following" 0 0.0912408759124088 0.00770252835493251 0.0207932629827936
"former" 0 0 0.0105909764880322 0.025991578728492
"account" 0 0 0.0144422406654985 0.0103966314913968
"calls" 0 0 0.00192563208873313 0
"Harrison" 0 0 0 0.0207932629827936
"principle" 0.54127198917456 0.0912408759124088 0.00962816044366563 0.025991578728492
"bank" 0 0 0.00288844813309969 0.254717471539221
"course" 0 0.0912408759124088 0.0414010899077622 0.0155949472370952
"directed" 0 0 0.00481408022183282 0.00519831574569839
"except" 0 0 0.015405056709865 0.0103966314913968
"Evidence" 0 0 0 0
"price" 0 0 0.00192563208873313 0.0207932629827936
"refused" 0.27063599458728 0 0.00385126417746625 0.0155949472370952
"sum" 0 0 0.0134794246211319 0.0207932629827936
"William" 0 0 0.000962816044366563 0.0207932629827936
"patent" 0 0 0 0
"persons" 0 0 0.00770252835493251 0.0155949472370952
"received" 0 0 0.0192563208873313 0.0155949472370952
"run" 0 0 0.0182935048429647 0.00519831574569839
"since" 0 0.0912408759124088 0.0336985615528297 0.0207932629827936
"afterwards" 0 0 0.0115537925323988 0.0103966314913968
"award" 0 0 0 0
"certificate" 0 0 0 0
"controversy" 0 0.0912408759124088 0 0
"demurrer" 0 0 0 0
"For" 0 0 0.0202191369316978 0.0207932629827936
"required" 0 0 0.00770252835493251 0.0155949472370952
"warrant" 0 0.0912408759124088 0 0.0103966314913968
"Dunlap" 0 0 0 0
"instrument" 0 0 0 0.0155949472370952
"amount" 0 0 0.00673971231056594 0.0831730519311743
"condition" 0 0 0.00866534439929907 0.0103966314913968
"construction" 0 0 0.00288844813309969 0.0207932629827936
"correct" 0.13531799729364 0 0.00481408022183282 0
"ejectment" 0 0 0 0
"purchaser" 0 0 0 0.0207932629827936
"slave" 0 0 0.00192563208873313 0
"aside" 0 0.0912408759124088 0.00577689626619938 0.0155949472370952
